strain,stress
0.029015544,91.28
0.044214162,101.36
0.067702936,112.56
0.093955095,120.96
0.120207254,127.68
0.146459413,133.28
0.172711572,136.08
0.198963731,137.2
0.225215889,137.2
0.251468048,136.08
0.277720207,133.84
0.303972366,131.04
0.330224525,129.36
0.356476684,126.56
0.382728843,123.2
0.408981002,121.52
0.435233161,119.28
0.46148532,117.04
0.487737478,115.92
0.513989637,114.8
0.540241796,113.68
0.566493955,112.56
0.592746114,111.44
0.618998273,110.88
0.645250432,109.76
0.671502591,109.2
