Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,nn_pred,svm_pred
523,0.001,30.84649748,95.22964881,56.33987427,107.3435169
573,0.001,0.678704125,1.337441718,41.0850296,278.9653378
623,0.001,0.19436828,0.276105485,140.3005524,295.878878
673,0.001,0.62874429,6.094946686,416.0996094,1401.578624
523,0.01,29.49643438,116.8767448,3.06283617,146.0498256
573,0.01,1.979461009,8.143218136,27.14684105,2.652613766
623,0.01,1.939401878,4.330943332,10.08148003,38.40646906
673,0.01,1.383897895,2.966278729,31.24845314,101.1446084
523,0.1,69.3419302,395.1708423,3.223334789,8.432117178
573,0.1,19.41362343,138.4312693,2.144690037,58.12564392
623,0.1,2.542965279,32.87138375,3.018935442,2.982447246
673,0.1,6.718193416,27.95949843,25.86661148,114.7364767
523,1,94.69916521,299.3471478,5.253947258,375.6291913
573,1,12.06556951,60.84369005,2.259089947,15.07306854
623,1,120.7270097,1266.12519,3.926780701,130.418401
673,1,4.62555439,16.72449154,8.824051857,5.328954654
