Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal
523,0.001,25.197605812912464,218.37112945131648
573,0.001,16.497256290159083,44.34935641906457
623,0.001,14.644041232092915,17.625459842166297
673,0.001,9.13505891524663,10.365490066338898
523,0.01,44.833707816748614,537.1736895419481
573,0.01,28.370501226908804,157.75488530517748
623,0.01,31.52342017755052,74.96321014459468
673,0.01,16.555756639670275,33.408204914430826
523,0.1,13.348579944540077,787.031077273789
573,0.1,14.408705148724417,308.2957197364925
623,0.1,15.68026870336949,141.03739098228215
673,0.1,13.843813030428485,68.36736889596783
523,1.0,85.62725524727074,1824.5584221486188
573,1.0,15.998974988871355,1165.3376435572904
623,1.0,17.639286694399726,542.7012432403258
673,1.0,19.983330474626726,249.15757945507139
