Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,nn_pred,svm_pred
573,0.01,1.543349717,1.789204687,2.111661673,23.11915059
598,0.01,2.230855192,10.0805593,18.30619431,34.38371815
623,0.01,13.10757148,21.83755129,87.99606323,192.2493527
648,0.01,48.85843321,191.307995,5.241875648,34.53044459
673,0.01,5.688310239,23.15633458,30.71121788,27.71635937
573,0.1,1.718997349,7.431044939,12.5802393,22.65852476
598,0.1,1.685430204,3.222306064,56.55757904,79.70538802
623,0.1,3.400209192,5.734195579,42.82010651,32.66057005
648,0.1,40.46546518,154.3118651,4.163377762,21.30099459
673,0.1,14.74085989,31.65991453,109.9689178,109.1690123
573,1,8.263833049,59.0501916,50.91714859,34.89366885
598,1,10.62932366,35.16598886,52.19378662,39.77186115
623,1,5.690517962,22.68260253,129.3665009,84.27757096
648,1,26.1469264,113.7723668,7.665953636,28.11263526
673,1,6.314057539,26.02829625,16.03234863,32.39627996
