Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,nn_pred,svm_pred
573,0.01,0.474282618,0.983448728,1.652482986,3.482017372
623,0.01,2.572798928,7.287725061,1.048978329,35.09216842
673,0.01,0.094943417,0.209754814,0.799575329,0.593046556
723,0.01,3.109041383,6.964860064,9.219902039,73.717879
573,0.1,0.74987382,11.16137788,2.235851765,44.40445026
623,0.1,0.257225368,1.659219943,1.488551617,0.819124265
673,0.1,0.272424339,0.082470692,5.388606071,37.08371476
723,0.1,0.823420383,0.54081673,12.34854126,0.433586953
573,1,1.939959062,2.42949116,1.990226507,1.918758537
623,1,1.4760022,1.952151455,1.506110072,21.0051485
673,1,1.175403098,0.18295163,1.186342239,2.487871272
723,1,0.267551648,0.190595659,2.589837074,12.39772829
573,10,5.146390239,19.83037875,4.049096107,62.84651038
623,10,0.641782361,0.818067671,1.889057875,1.632542528
673,10,0.153374884,0.191170204,0.41189009,18.01249463
723,10,1.876984105,4.364112129,5.129030228,0.946222429
