strain,stress
0.00134,49.882
0.00152,53.415
0.00172,58.527
0.00193,63.176
0.00214,68.147
0.00234,71.832
0.00253,76.071
0.00274,80.275
0.00294,84.936
0.0031,90.585
0.00334,96.965
0.00352,100.34
0.00374,105.55
0.00395,108.68
0.00418,112.22
0.00439,114.37
0.00462,115.14
0.00479,115.88
0.00497,118.32
0.00513,120.81
0.00536,124.88
0.00561,126.63
0.00582,126.47
0.00596,127.08
0.0062,128.93
0.00637,129.25
0.00659,130.58
0.00675,131.49
0.00693,135.36
0.00719,136.48
0.00738,137.27
0.00762,137.61
0.00775,138.36
0.00798,139.54
0.00817,140.44
0.00836,141.59
0.00861,142.33
0.00872,143.14
0.00895,146.62
0.00917,147.36
0.0094,147.01
0.00962,146.27
0.00982,143.98
0.00995,145.42
0.0102,146.03
0.0104,146.68
0.0106,146.59
0.01081,147.29
0.01096,148.81
0.01119,149.73
0.01135,150.79
0.01161,151.47
0.01174,152.17
0.012,155.5
0.01221,155.35
0.01244,154.61
0.0127,151.21
0.0128,148.79
0.01302,149.22
0.01318,150.17
0.01332,153.76
0.01358,156.5
0.01382,156.88
0.01401,155.23
0.01422,154.43
0.01436,154.23
0.01458,155.24
0.01481,154.34
0.01497,154.46
0.01516,154.98
0.01537,155.43
0.01559,156.09
0.01583,155.32
0.01598,154.39
0.01617,155.22
0.01637,156.19
0.01659,157.28
0.01682,157.81
0.01701,156.27
0.0172,156.03
0.01741,155.72
0.01763,155.8
0.01779,154.75
0.01797,155.86
0.0182,157.1
0.01837,156.78
0.01862,158.23
0.01881,157.61
0.019,157.2
0.01922,157.03
0.01939,156.81
0.0196,156.58
0.01978,157.07
0.01997,157.85
0.02021,158.05
0.02038,158.18
0.02056,159.04
0.02078,159.65
0.02097,160.53
0.02117,160.24
0.02136,160.53
0.02155,162.35
0.02178,163.22
0.02202,162.65
0.02218,161.11
0.02243,160.52
0.02261,158.83
0.02278,158.65
0.023,158.36
0.02316,158.84
0.02339,160.09
0.0236,159.79
0.02378,159.97
0.02396,160.54
0.02417,161.48
0.0244,162.01
0.02459,160.6
0.02482,160.67
0.02498,159.92
0.02519,160.72
0.02537,161.41
0.02559,161.82
0.02581,161.15
0.026,160.39
0.02622,159.49
0.02641,158.41
0.02658,158.01
0.02677,158.36
0.02697,159.24
0.02717,160
0.0274,160.06
0.02756,160.33
0.02777,161.15
0.02798,161.35
0.02819,161.71
0.02839,160.89
0.0286,160.85
0.02877,161.05
0.02899,161.59
0.02919,161.75
0.02936,162.5
0.02962,162.86
0.02982,161.43
0.02999,161.15
0.03022,160.89
0.0304,160.67
0.03059,161.08
0.03082,161.06
0.03101,160.61
0.0312,160.97
0.03142,160.99
0.0316,161.01
0.03181,160.89
0.03201,161.08
0.03218,161.47
0.03238,162.01
0.03261,162.16
0.0328,160.7
0.033,160.35
0.0332,160.14
0.03338,160.16
0.03361,160.27
0.03378,160.54
0.034,161.27
0.03423,161.41
0.03441,161.43
0.03462,160.59
0.03482,160.63
0.03501,161
0.03521,160.8
0.0354,162.19
0.0356,161.85
0.03581,161.47
0.036,161.07
0.03622,160.13
0.03643,159.14
0.0366,158.88
0.03681,159.43
0.037,159.82
0.03719,160.22
0.03742,160.43
0.03761,160.7
0.03781,160.84
0.03803,160.15
0.03821,160.15
0.0384,160.25
0.03861,160.04
0.03878,160.22
0.039,159.19
0.0392,159.65
0.03938,159.31
0.03957,160.59
0.03978,162.12
0.03998,163.41
0.04022,163.35
0.0404,162.87
0.04062,162.46
0.04082,161.89
0.04101,160.85
0.0412,160.22
0.0414,159.88
0.04159,159.59
0.0418,158.8
0.04197,157.89
0.04217,159.01
0.04239,158.82
0.0426,159.03
0.04279,158.12
0.043,158.24
0.0432,157.95
0.04341,157.7
0.04362,157.56
0.04378,157.52
0.044,157.91
0.0442,157.34
0.04437,157.74
0.04459,158.1
0.0448,157.6
0.04498,156.83
0.04519,156.09
0.04537,156.64
0.04558,157.51
0.04579,157.34
0.04599,157.47
0.04619,157.34
0.04642,157.81
0.04661,156.83
0.04681,157.01
0.04702,156.26
0.0472,155.54
0.0474,155.15
0.04758,155.56
0.04779,156.33
0.04799,155.95
0.04818,155.95
0.04839,156.39
0.04861,156.55
0.04881,156.38
0.049,155.89
0.04921,156.31
0.04941,155.93
0.04963,155.62
0.04981,155.66
0.05001,155.19
0.05022,155.22
0.0504,154.79
0.0506,155.53
0.05082,155.31
0.05099,154.79
0.05119,154.84
0.0514,154.53
0.0516,154.04
0.05181,154.06
0.052,153.63
0.05221,153.97
0.05241,153.32
0.05262,153.24
0.05279,152.86
0.05302,153.22
0.0532,153.59
0.0534,153.37
0.05361,154.06
0.05378,154.21
0.05399,155
0.0542,154.86
0.05437,154.6
0.05458,154.73
0.0548,154.75
0.055,154.87
0.0552,154.38
0.05542,154.45
0.05561,154.1
0.0558,153.66
0.056,153.98
0.05621,153.91
0.05641,153.8
0.05659,153.78
0.0568,153.46
0.057,153.77
0.05717,152.91
