strain,stress
0.001541426,51.42857143
0.004624277,63.42857143
0.007707129,71.42857143
0.007707129,80.57142857
0.012331407,87.42857143
0.012331407,95.42857143
0.015414258,101.7142857
0.021579961,108.5714286
0.021579961,115.4285714
0.030828516,123.4285714
0.040077071,128
0.049325626,136
0.063198459,141.7142857
0.080154143,146.8571429
0.094026975,153.1428571
0.110982659,157.1428571
0.13256262,162.2857143
0.152601156,166.2857143
0.177263969,169.1428571
0.198843931,172.5714286
0.220423892,174.2857143
0.249710983,176
0.271290944,178.2857143
0.295953757,180.5714286
0.315992293,181.1428571
0.33911368,182.2857143
0.359152216,181.7142857
0.377649326,181.7142857
0.397687861,181.7142857
0.420809249,181.7142857
0.439306358,181.7142857
0.457803468,180
0.484007707,178.2857143
0.50867052,178.2857143
0.536416185,177.7142857
0.556454721,177.1428571
0.58265896,174.8571429
0.605780347,172.5714286
0.627360308,170.8571429
0.647398844,170.2857143
0.665895954,166.8571429
0.689017341,166.2857143
0.713680154,162.8571429
0.73371869,161.7142857
0.750674374,160.5714286
0.764547206,158.8571429
0.783044316,156.5714286
0.795375723,154.2857143
