Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,nn_pred,svm_pred
1173,0.01,39.86426369,278.2056689,95.97385406,203.4258023
1273,0.01,5.54451757,30.58982735,34.44532013,86.87289385
1373,0.01,0.732904593,4.715656184,76.23416138,147.4021083
1473,0.01,6.381482267,36.39991248,861.9459839,3168.484826
1173,0.1,0.235321165,9.315220754,68.26597595,493.5601363
1273,0.1,0.687187932,12.27346611,19.42685509,12.72567193
1373,0.1,2.990275363,15.96224075,22.45183372,6.187187638
1473,0.1,0.692490351,7.234218966,271.1245728,419.0003443
1173,1,8.650577055,33.09798256,21.3189888,114.2772228
1273,1,3.178584369,18.40163108,45.85498428,11.739445
1373,1,3.94497104,25.30924532,12.57743549,44.04348156
1473,1,0.561182407,7.151726634,10.59179497,148.1315604
1173,10,277.2194665,588.5324411,1.422410607,554.437446
1273,10,17.46037146,138.2811711,9.607320786,13.90142697
1373,10,2.182761812,14.7152408,21.48692703,149.9339273
1473,10,18.46378946,137.6277061,22.91592407,24.44293499
