Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,nn_pred,svm_pred
1143,0.01,39.28654869,133.5432062,315.0302429,135.3440394
1173,0.01,3.309980275,11.18504917,361.9143982,287.1916227
1203,0.01,6.954540777,19.76596567,1484.27478,4154.85169
1233,0.01,4.124091782,26.41017368,76.84642029,15.42450796
1143,0.1,163.2691335,1137.924102,179.654953,288.0991767
1173,0.1,104.1839356,615.7825487,702.8202515,697.1505941
1203,0.1,14.23927291,155.0443775,69.68745422,14.10722624
1233,0.1,8.740599027,36.06975871,64.0276947,41.83016851
1143,1,441.715474,501.9062823,219.9219208,986.3261971
1173,1,156.4997465,1065.958278,89.67864227,979.767313
1203,1,37.85251744,874.4461064,50.1083107,140.8644959
1233,1,91.94865133,929.9283535,15.81636047,1022.168762
