Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,nn_pred,svm_pred
523,0.001,0.326791506,8.238203651,42.35816193,4.741988061
573,0.001,2.602907392,3.187595598,58.47144699,12.92728839
623,0.001,1.060698194,4.642111688,143.5598907,19.41987966
673,0.001,3.788306957,28.12561577,290.821228,646.0236001
523,0.01,1.256932749,9.693248183,37.11262894,102.0631189
573,0.01,1.580481319,9.720841505,42.78231049,58.22276711
623,0.01,1.035522189,2.546702083,130.9599304,92.5930254
673,0.01,5.47448011,23.29891311,94.93341827,45.92502417
523,0.1,10.29990243,39.00404306,1.070926547,1.189281502
573,0.1,11.89862485,29.26912858,4.65345192,17.23425313
623,0.1,0.176737206,2.05606593,29.40715981,19.58443745
673,0.1,0.325771561,0.90092835,6.734207153,64.88039823
523,1,98.18483421,124.677919,17.11885452,121.8360822
573,1,8.215703228,26.54018829,15.6083498,5.892431924
623,1,0.30473183,1.800615392,5.29366827,44.75919304
673,1,5.131327673,60.34309939,12.82408905,7.644004013
