strain,stress
0.002,75.93384197
0.004,102.0020595
0.006,131.5109843
0.008,164.6117901
0.01,201.4556507
0.012,242.1937399
0.014,286.9772313
0.016,335.9572988
0.018,389.2851162
0.02,440.1171354
0.022,492.8650237
0.024,534.928242
0.026,567.8128257
0.028,592.9148876
0.03,611.5206175
0.032,624.8062831
0.034,633.838229
0.036,639.5728773
0.038,642.8567276
0.04,643.4263566
0.042,643.9084187
0.044,643.8196452
0.046,643.5668453
0.048,643.446905
0.05,643.646788
0.052,644.2435353
0.054,645.2042653
0.056,646.3861736
0.058,647.5365332
0.06,655.7452191
0.062,657.8397346
0.064,659.8038557
0.066,661.641659
0.068,663.3571361
0.07,664.9541938
0.072,666.4366555
0.074,667.8082618
0.076,669.0726713
0.078,670.2334619
0.08,671.2941313
0.082,672.2580979
0.084,673.1287018
0.086,673.9092057
0.088,674.6027959
0.09,675.2125827
0.092,675.7416019
0.094,676.1928151
0.096,676.5691111
0.098,676.8733065
0.1,677.1081465
0.102,677.276306
0.104,677.3803904
0.106,677.4229364
0.108,677.4064131
0.11,677.3332226
0.112,677.2057009
0.114,677.0261193
0.116,676.7966845
0.118,676.51954
0.12,676.1967668
0.122,675.8303844
0.124,675.4223514
0.126,674.974567
0.128,674.488871
0.13,673.9670454
0.132,673.4108149
0.134,672.8218482
0.136,672.2017582
0.138,671.5521035
0.14,670.874389
0.142,670.1700668
0.144,669.4405373
0.146,668.6871496
0.148,667.911203
0.15,667.1139473
0.152,666.296584
0.154,665.4602672
0.156,664.6061044
0.158,663.7351574
0.16,662.8484431
0.162,661.9469344
0.164,661.0315612
0.166,660.1032114
0.168,659.1627313
0.17,658.2109268
0.172,657.2485645
0.174,656.2763721
0.176,655.2950396
0.178,654.3052202
0.18,653.3075309
0.182,652.3025536
0.184,651.2908361
0.186,650.2728927
0.188,649.2492051
0.19,648.2202237
0.192,647.186368
0.194,646.1480274
0.196,645.1055628
0.198,644.0593067
0.2,643.0095646
0.202,641.9566153
0.204,640.9007127
0.206,639.8420857
0.208,638.7809397
0.21,637.7174573
0.212,636.6517992
0.214,635.584105
0.216,634.5144942
0.218,633.443067
0.22,632.3699052
0.222,631.2950732
0.224,630.2186185
0.226,629.1405732
0.228,628.0609544
0.23,626.979765
0.232,625.8969952
0.234,624.8126226
0.236,623.7266137
0.238,622.6389245
0.24,621.5495013
0.242,620.4582819
0.244,619.3651962
0.246,618.270167
0.248,617.1731114
0.25,616.073941
0.252,614.9725633
0.254,613.8688823
0.256,612.7627995
0.258,611.6542148
0.26,610.5430274
0.262,609.4291364
0.264,608.312442
0.266,607.1928464
0.268,606.0702545
0.27,604.9445747
0.272,603.8157201
0.274,602.6836092
0.276,601.5481667
0.278,600.4093244
0.28,599.2670224
0.282,598.1212096
0.284,596.9718446
0.286,595.8188968
0.288,594.6623473
0.29,593.5021894
0.292,592.33843
0.294,591.17109
0.296,590.0002056
0.298,588.8258288
0.3,587.6480285
0.302,586.4668915
0.304,585.2825232
0.306,584.0950482
0.308,582.9046119
0.31,581.7113807
0.312,580.5155433
0.314,579.3173114
0.316,578.1169206
0.318,576.9146312
0.32,575.7107294
0.322,574.5055278
0.324,573.2993665
0.326,572.0926139
0.328,570.8856675
0.33,569.6789551
0.332,568.4729353
0.334,567.2680987
0.336,566.0649685
0.338,564.8641015
0.34,563.6660891
0.342,562.471558
0.344,561.2811712
0.346,560.0956288
0.348,558.9156689
0.35,557.7420685
0.352,556.5756445
0.354,555.4172544
0.356,554.2677971
0.358,553.1282141
0.36,551.9994901
0.362,550.8826542
0.364,549.7787802
0.366,548.6889882
0.368,547.6144449
0.37,546.5563649
0.372,545.5160113
0.374,544.4946966
0.376,543.4937837
0.378,542.5146869
0.38,541.5588724
0.382,540.6278596
0.384,539.7232216
0.386,538.8465863
0.388,537.9996373
0.39,537.1841149
0.392,536.4018164
0.394,535.6545978
0.396,534.9443739
0.398,534.2731199
