Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,nn_pred,svm_pred
1298,0.001,553.4628293,560.1867662,299.7745972,169.3336741
1323,0.001,113.6561038,479.779643,376.8293152,2161.758151
1348,0.001,50.99010996,325.907342,1060.235718,5969.28044
1398,0.001,4.277470177,36.43109824,1313.630981,2720.322616
1298,0.01,347.8228402,293.5623574,30.53949547,546.3949527
1323,0.01,461.19287,481.1740164,1350.186768,2171.446567
1348,0.01,34.29800451,344.4440857,2996.227295,3824.403121
1398,0.01,11.09093335,24.88359925,132.5003204,864.9363863
1298,0.1,28.6653965,1540.680521,51.43527222,718.9414693
1323,0.1,334.4562752,2387.994723,90.62902832,1542.517798
1348,0.1,1444.463294,3897.426613,2156.483398,2656.935356
1398,0.1,10.03800023,159.8164652,289.9265442,2944.362793
1298,1,394.4727634,2178.9886,327.7748413,4475.992017
1323,1,24.1020956,225.4128792,483.1495667,212.3425736
1348,1,76.90586121,422.4699271,89.96818542,177.6984881
1398,1,44.2168486,164.3298297,229.3813019,566.3024272
,,245.881981,845.2180291,,
