y_true,y_pred,y_cal
651.5233,643.8722,620.1222487140502
661.09796,657.61597,636.8361494595018
670.69775,667.074,648.7698645415237
674.8106,671.49994,656.0172142172869
673.7344,672.0105,658.903547018056
669.0188,668.7053,657.9293130532133
661.9562,662.33167,653.7070197432187
653.47974,653.9328,646.9002383075842
644.21405,644.773,638.1701563052625
634.5329,635.20966,628.1321700868987
624.6194,625.17615,617.3226436149838
614.523,614.40015,606.1743786363155
604.21924,602.7766,594.998542380854
593.66724,590.53577,583.970757449196
582.8681,578.0309,573.1198309653272
571.9239,565.66046,562.3193882232679
561.096,553.84436,551.2857829175537
550.8761,543.0045,539.5901479149522
542.1913,533.5583,526.6972065822874
536.841,525.924,512.0445426346979
