strain,stress
0.020609579,43.97177419
0.02605225,45.96774194
0.039114659,47.60080645
0.054354136,49.41532258
0.075036284,50.32258065
0.091364296,50.50403226
0.112046444,49.59677419
0.132728592,48.50806452
0.155587808,48.14516129
0.181712627,47.41935484
0.205660377,47.41935484
0.237227866,46.69354839
0.266618287,45.60483871
0.294920174,44.87903226
0.323222061,44.87903226
0.351523948,43.79032258
0.380914369,43.42741935
0.41574746,43.06451613
0.445137881,42.7016129
0.47670537,42.52016129
0.508272859,42.33870968
0.536574746,41.97580645
0.570319303,41.79435484
0.599709724,41.79435484
0.628011611,41.79435484
0.65413643,42.15725806
0.676995646,42.52016129
0.707474601,42.7016129
0.733599419,42.52016129
0.761901306,43.42741935
0.790203193,44.15322581
