Temperature (K),Strain rate (s^-1),RMSE_pred,RMSE_cal,nn_pred,svm_pred
1123,0.01,12.49028375,8.764090998,239.769928,68.87608899
1223,0.01,6.293842694,11.58311303,213.5649872,27.84238051
1323,0.01,10.55524656,13.76387289,227.6510773,49.27418397
1423,0.01,23.36621803,78.5897582,176.9749146,136.9312311
1123,0.1,94.82788651,120.1829966,26.57927322,87.70345749
1223,0.1,37.71979429,25.60322511,96.27207947,98.10356883
1323,0.1,21.35122005,116.4675246,98.61976624,161.8002145
1423,0.1,4.149156459,4.580263885,171.5520935,43.70237991
1123,1,59.09194094,61.3154717,6.528604031,9.001211978
1223,1,1.186507207,22.04441099,84.94261932,12.66623405
1323,1,12.93811784,10.54228744,22.08477211,20.87377574
1423,1,9.627014224,16.62914175,26.25385475,44.43943151
1123,10,125.3998693,371.6174644,193.7883911,144.5639015
1223,10,53.261474,117.6849231,9.057427406,8.755397653
1323,10,11.93148105,12.56502827,27.70278358,31.10018753
1423,10,3.714255237,26.54600038,5.149497509,20.17951529
,,30.49401926,63.65497333,,
